City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,taulaga,-11.0553,-171.0883,28.26,80,100,6.59,AS,1701980980
285,cicero dantas,-10.6,-38.3833,27.66,56,100,5.8,BR,1701980968
286,arraial do cabo,-22.9661,-42.0278,31.98,58,0,7.2,BR,1701980783
287,kasungu,-13.0333,33.4833,21.33,79,65,2.9,MW,1701980981
288,saint-pierre,-21.3393,55.4781,25.32,83,75,1.03,RE,1701980981
289,iquique,-20.2208,-70.1431,21.02,68,12,3.69,CL,1701980982
290,constitucion,-35.3333,-72.4167,19.72,64,15,8.33,CL,1701980982
291,obligado,-27.0333,-55.6333,23.32,84,85,2.31,PY,1701980983
292,eldorado at santa fe,35.5264,-105.9347,13.82,39,0,7.2,US,1701980983
293,strezhevoy,60.7333,77.5889,-25.02,85,100,2.68,RU,1701980983
294,thinadhoo,0.5333,72.9333,26.44,83,100,6.58,MV,1701980984
295,mount gambier,-37.8333,140.7667,19.1,58,92,2.08,AU,1701980984
296,eyl,7.9803,49.8164,24.83,68,1,9.29,SO,1701980984
297,belyy yar,53.6039,91.3903,-20.06,71,0,3.0,RU,1701980848
298,raduzhny,62.0961,77.475,-25.94,88,100,3.87,RU,1701980985
299,haiku-pauwela,20.9219,-156.3051,26.13,66,40,3.6,US,1701980985
300,tokuyama,34.05,131.8167,3.79,58,0,1.57,JP,1701980986
301,qamdo,31.1667,97.2333,-4.96,50,100,0.51,CN,1701980986
302,bikin,46.8161,134.26,-23.59,100,30,1.75,RU,1701980986
303,sampit,-2.5333,112.95,23.18,98,100,0.29,ID,1701980987
304,vilyuysk,63.7553,121.6247,-45.56,100,97,1.34,RU,1701980987
305,matoury,4.8483,-52.3317,28.98,79,75,7.2,GF,1701980987
306,sullivan,36.5168,-82.5332,12.59,39,20,6.69,US,1701980988
307,katpur,21.05,71.7833,23.06,58,2,5.14,IN,1701980988
308,kidal,18.4411,1.4078,25.42,11,27,2.34,ML,1701980988
309,glenfield park,-35.1372,147.334,24.77,66,99,0.89,AU,1701980989
310,kargasok,59.0556,80.8572,-24.46,91,100,3.58,RU,1701980989
311,nuuk,64.1835,-51.7216,3.34,44,20,2.57,GL,1701980989
312,shahkot,31.0775,75.3372,11.76,30,0,1.52,IN,1701980990
313,klyuchi,52.2667,79.1667,-21.03,72,95,3.69,RU,1701980990
314,lodwar,3.1191,35.5973,30.47,33,0,3.56,KE,1701980991
315,kavieng,-2.5744,150.7967,27.24,81,97,3.77,PG,1701980991
316,mareeba,-17.0,145.4333,22.4,95,80,0.93,AU,1701980853
317,puerto san jose,13.9256,-90.8244,30.09,56,0,3.67,GT,1701980992
318,port blair,11.6667,92.75,25.02,94,20,1.03,IN,1701980992
319,jumla,29.2747,82.1838,2.46,57,0,1.52,NP,1701980993
320,jincheng,35.5022,112.8328,8.96,29,0,2.16,CN,1701980993
321,gunnedah,-30.9833,150.25,24.77,58,77,0.95,AU,1701980993
322,pisco,-13.7,-76.2167,24.03,64,0,6.17,PE,1701980711
323,port isabel,26.0734,-97.2086,24.45,72,100,6.69,US,1701980994
324,prineville,44.2999,-120.8345,5.06,88,100,0.89,US,1701980994
325,zhanibek,49.4167,46.85,-4.81,78,77,5.26,KZ,1701980995
326,rugaji,57.0,27.1333,-9.22,93,100,3.14,LV,1701980995
327,capinota,-17.7167,-66.2333,23.67,41,62,7.29,BO,1701980995
328,francistown,-21.17,27.5079,25.8,34,3,7.78,BW,1701980996
329,middelburg,-25.7751,29.4648,18.1,70,28,2.17,ZA,1701980996
330,howrah,22.5892,88.3103,19.0,94,75,1.54,IN,1701980996
331,yantzaza,-3.8278,-78.7594,25.01,91,67,1.14,EC,1701980997
332,mundri,-6.9558,111.71,25.62,86,100,0.57,ID,1701980997
333,konarka,19.9,86.1167,22.22,94,30,4.77,IN,1701980998
334,kota kinabalu,5.9749,116.0724,25.99,89,20,1.54,MY,1701980998
335,diu,20.7141,70.9822,22.52,55,1,5.4,IN,1701980998
336,ilovlya,49.3033,43.9796,-4.08,75,23,6.25,RU,1701980999
337,grande prairie,55.1667,-118.8027,-0.9,64,20,4.63,CA,1701980722
338,tadine,-21.55,167.8833,23.77,74,100,7.43,NC,1701980999
339,lindisfarne,-42.8333,147.35,13.88,80,0,3.6,AU,1701981000
340,mamuju,-2.6748,118.8885,24.87,93,100,2.08,ID,1701981000
341,port hueneme,34.1478,-119.1951,23.77,66,0,3.6,US,1701981001
342,beira,-19.8436,34.8389,27.05,78,20,4.12,MZ,1701981001
343,tshikapa,-6.4167,20.8,21.66,99,100,1.49,CD,1701981003
344,concord,37.978,-122.0311,16.56,68,100,6.69,US,1701980448
345,grand-lahou,5.1367,-5.0242,27.14,79,48,3.66,CI,1701981006
346,akureyri,65.6835,-18.0878,-1.04,64,75,2.06,IS,1701980808
347,as sulayyil,20.4607,45.5779,17.14,29,7,2.59,SA,1701981007
348,tofol,5.3248,163.0078,28.32,81,100,7.75,FM,1701981008
349,mejit,10.2753,170.8646,27.62,83,98,10.96,MH,1701980821
350,scheveningen,52.1046,4.2756,3.93,84,100,6.17,NL,1701981009
351,bamboo flat,11.7,92.7167,25.05,94,20,1.03,IN,1701981009
352,kone,-21.0595,164.8658,25.65,55,100,3.33,NC,1701981010
353,mont-joli,48.5839,-68.1921,-6.28,73,75,2.57,CA,1701981011
354,fale old settlement,-9.3852,-171.2468,29.08,73,100,3.93,TK,1701980731
355,sao raimundo nonato,-9.0153,-42.6994,31.6,30,99,2.67,BR,1701981012
356,galliano,29.4422,-90.2992,18.89,55,0,1.54,US,1701981012
357,acarau,-2.8856,-40.12,27.18,77,13,7.61,BR,1701981013
358,champerico,14.3,-91.9167,35.3,68,14,2.99,GT,1701981013
359,kavaratti,10.5669,72.642,28.21,66,62,2.29,IN,1701980745
360,isabela,6.7085,121.9711,26.21,84,100,1.44,PH,1701981014
361,hithadhoo,-0.6,73.0833,27.55,77,100,4.22,MV,1701980745
